LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [14646, 2, 1, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 20599, 30326, 28111, 24841, 7109, 51, 6407, 560, 2936, 2149, 1424] Fitness: [[1.7820063]] Classifier Val: [[0.]]
Counterfactual at location: 0,1: [29960, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 23667, 28518, 36254, 27979, 24749, 8020, 110, 2093, 560, 2936, 1765, 1685] Fitness: [[1.8730025]] Classifier Val: [[0.]]
Counterfactual at location: 0,2: [40643, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 26857, 29612, 30326, 29519, 26446, 7109, 110, 1512, 560, 2936, 1707, 778] Fitness: [[1.8881836]] Classifier Val: [[0.]]
Counterfactual at location: 0,3: [46051, 2, 2, 2, 24, 0, 0, 0, 0, 0, 0, 30767, 29612, 30326, 28111, 26446, 7333, 51, 1512, 560, 2962, 1765, 1424] Fitness: [[1.8828144]] Classifier Val: [[0.]]
Counterfactual at location: 1,0: [14646, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 28111, 26446, 7109, 311, 1581, 560, 2936, 1765, 2432] Fitness: [[0.8848307]] Classifier Val: [[1.]]
Counterfactual at location: 1,1: [26705, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 28111, 26446, 6978, 311, 1512, 560, 2936, 1818, 1424] Fitness: [[1.903533]] Classifier Val: [[0.]]
Counterfactual at location: 1,2: [36510, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30767, 29612, 30326, 28111, 25815, 5962, 311, 1512, 560, 2936, 1818, 339] Fitness: [[1.8983938]] Classifier Val: [[0.]]
Counterfactual at location: 1,3: [49997, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 28111, 26446, 7109, 311, 1512, 560, 2936, 1818, 1424] Fitness: [[1.8901826]] Classifier Val: [[0.]]
Counterfactual at location: 2,0: [14646, 2, 2, 2, 24, 0, 0, 0, 0, 0, 0, 26857, 16844, 30326, 27979, 24841, 7109, 434, 4246, 2227, 2936, 1765, 196] Fitness: [[1.807708]] Classifier Val: [[0.]]
Counterfactual at location: 2,1: [26705, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 28111, 26446, 6978, 343, 1512, 560, 2936, 1765, 1424] Fitness: [[1.9056258]] Classifier Val: [[0.]]
Counterfactual at location: 2,2: [38211, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 26857, 29612, 30326, 27979, 26446, 7109, 434, 1512, 560, 2936, 1765, 778] Fitness: [[1.9022028]] Classifier Val: [[0.]]
Counterfactual at location: 2,3: [46950, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 29519, 26446, 7109, 450, 1512, 560, 2936, 1765, 778] Fitness: [[1.8946618]] Classifier Val: [[0.]]
Counterfactual at location: 3,0: [14646, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 20599, 30326, 29519, 25815, 7109, 570, 4246, 867, 2936, 1765, 2296] Fitness: [[1.8356125]] Classifier Val: [[3.387236e-08]]
Counterfactual at location: 3,1: [25308, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 29519, 25815, 7109, 570, 1640, 560, 2936, 1765, 2296] Fitness: [[1.9024734]] Classifier Val: [[5.0465015e-36]]
Counterfactual at location: 3,2: [40643, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 29519, 26446, 7109, 570, 1512, 560, 2936, 1707, 1424] Fitness: [[1.9006388]] Classifier Val: [[0.]]
Counterfactual at location: 3,3: [46950, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 24313, 29032, 30326, 28086, 26446, 10124, 570, 1512, 560, 2936, 1765, 1424] Fitness: [[1.8828433]] Classifier Val: [[0.]]
Counterfactual at location: 4,0: [14646, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 21914, 30326, 27496, 26446, 7333, 747, 4246, 1749, 2962, 1665, 4572] Fitness: [[1.8271418]] Classifier Val: [[3.0510303e-10]]
Counterfactual at location: 4,1: [25308, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30174, 29612, 30326, 29519, 25815, 7109, 759, 1581, 560, 2936, 1765, 2296] Fitness: [[1.9079082]] Classifier Val: [[0.]]
Counterfactual at location: 4,2: [32580, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29578, 29612, 30326, 28196, 25388, 7333, 747, 1512, 560, 2962, 1665, 4572] Fitness: [[1.9114861]] Classifier Val: [[0.]]
Counterfactual at location: 4,3: [46950, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 26857, 26482, 30326, 27979, 26446, 7109, 759, 1512, 560, 2936, 1765, 3734] Fitness: [[1.8996345]] Classifier Val: [[0.]]
