LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [2867, 2, 1, 2, 22, 0, 0, 0, 0, 0, 0, 34390, 14957, 30326, 26223, 22539, 6381, 1686, 1403, 560, 3083, 1950, 0] Fitness: [[1.8733115]] Classifier Val: [[1.861235e-35]]
Counterfactual at location: 0,1: [2867, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 32225, 11750, 30326, 28004, 22539, 6381, 1686, 1400, 560, 3620, 1765, 0] Fitness: [[1.915199]] Classifier Val: [[0.]]
Counterfactual at location: 0,2: [2867, 2, 3, 2, 22, 0, 0, 0, 0, 0, 0, 33340, 14339, 30326, 28434, 22539, 6241, 1686, 1400, 560, 2947, 1765, 0] Fitness: [[1.8793128]] Classifier Val: [[1.206867e-20]]
Counterfactual at location: 0,3: [2867, 2, 4, 2, 22, 0, 0, 0, 0, 0, 0, 33340, 14339, 30326, 28004, 22539, 6381, 1686, 1400, 560, 3083, 1791, 0] Fitness: [[1.8798862]] Classifier Val: [[3.318737e-24]]
Counterfactual at location: 1,0: [5978, 2, 1, 2, 22, 0, 0, 0, 0, 0, 0, 31792, 8019, 30326, 26226, 26446, 6381, 1686, 1400, 560, 2947, 1765, 0] Fitness: [[1.8816143]] Classifier Val: [[9.140014e-11]]
Counterfactual at location: 1,1: [5978, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 30966, 14339, 31647, 28004, 20620, 6381, 1686, 1403, 560, 2947, 1765, 0] Fitness: [[1.926682]] Classifier Val: [[1.4039863e-34]]
Counterfactual at location: 1,2: [5389, 2, 3, 2, 22, 0, 0, 0, 0, 0, 0, 30442, 14339, 30326, 28004, 22539, 6381, 1686, 1400, 560, 4029, 1765, 0] Fitness: [[1.8777552]] Classifier Val: [[7.707538e-06]]
Counterfactual at location: 1,3: [3433, 2, 4, 2, 22, 0, 0, 0, 0, 0, 0, 30403, 18614, 29365, 28004, 17642, 6381, 1686, 1400, 560, 3083, 1765, 0] Fitness: [[1.881762]] Classifier Val: [[1.3912316e-10]]
Counterfactual at location: 2,0: [8946, 2, 1, 2, 22, 0, 0, 0, 0, 0, 0, 37655, 10760, 30326, 28004, 26446, 6381, 1686, 1403, 560, 3083, 1765, 0] Fitness: [[1.8861607]] Classifier Val: [[2.671439e-21]]
