LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [861, 2, 1, 2, 22, 0, 0, 0, 0, 0, 0, 29630, 29088, 52422, 25721, 11720, 7566, 2142, 2503, 470, 3026, 1765, 1511] Fitness: [[1.7797251]] Classifier Val: [[0.]]
Counterfactual at location: 0,1: [861, 1, 2, 2, 22, 0, 0, 0, 0, 0, 0, 29630, 21428, 43125, 25721, 11720, 7566, 2142, 1525, 470, 3026, 1765, 1511] Fitness: [[1.7894962]] Classifier Val: [[0.]]
Counterfactual at location: 0,2: [861, 2, 3, 2, 22, 0, 0, 0, 0, 0, 0, 34583, 24128, 39405, 25721, 17533, 7566, 2142, 1238, 470, 3026, 1765, 1881] Fitness: [[1.7984707]] Classifier Val: [[0.]]
Counterfactual at location: 0,3: [861, 2, 4, 2, 24, 0, 0, 0, 0, 0, 0, 29664, 24877, 38955, 25068, 11351, 7566, 1832, 1320, 489, 3140, 1765, 839] Fitness: [[1.7993222]] Classifier Val: [[1.770941e-10]]
Counterfactual at location: 1,0: [3765, 2, 1, 2, 22, 0, 0, 0, 0, 0, 0, 29630, 24128, 44127, 25480, 15598, 7566, 1735, 1320, 437, 3145, 1765, 1008] Fitness: [[1.8078907]] Classifier Val: [[5.706418e-32]]
Counterfactual at location: 1,1: [3765, 2, 2, 2, 22, 0, 0, 0, 0, 0, 2, 33833, 23820, 48919, 30336, 11720, 7566, 1735, 1210, 470, 3026, 1765, 2778] Fitness: [[1.7943146]] Classifier Val: [[0.]]
Counterfactual at location: 1,2: [3765, 2, 3, 2, 22, 0, 0, 0, 0, 0, 0, 29630, 23004, 36912, 28826, 14173, 8058, 2142, 1320, 437, 3026, 1492, 539] Fitness: [[1.7966294]] Classifier Val: [[0.00041609]]
Counterfactual at location: 1,3: [3765, 2, 4, 2, 22, 0, 0, 0, 0, 0, 0, 31286, 24128, 36912, 25721, 14313, 7566, 1735, 1099, 453, 3026, 1765, 1399] Fitness: [[1.8057978]] Classifier Val: [[1.7995159e-21]]
Counterfactual at location: 2,0: [7016, 2, 1, 2, 21, 0, 0, 0, 0, 0, 0, 29630, 21428, 43125, 33671, 11720, 7566, 2142, 1525, 470, 3026, 1765, 508] Fitness: [[1.7926672]] Classifier Val: [[5.76194e-30]]
